# Supplementary table: 26.03 w3 clinical-advancement dataset, pairs & positives by therapeutic area.
# Counting is multi-membership: a target-disease pair is counted in EVERY therapeutic area its
# disease maps to, matching the RS-by-TA computation in evaluate_advancement.py. Per-TA rows therefore
# OVERLAP and do NOT sum to the split totals. De-duplicated totals: train = 21602 pairs / 4917 pos
# (22.76%); eval = 7193 pairs / 668 pos (9.29%). The 'all' row gives overlapping (not de-duplicated)
# totals across primary TAs. The train/eval positive-rate gap reflects decision-aligned temporal
# masking (later, evidence-sparse eval pairs), not a split artifact. 13 primary TAs shown; ~15%
# of pairs map only to non-primary TAs and are omitted here.
therapeutic_area_name,train_pairs,train_positives,train_pct_pos,eval_pairs,eval_positives,eval_pct_pos
all,42524,9565,22.49,14227,1323,9.3
cancer or benign tumor,10511,2194,20.87,2535,192,7.57
"genetic, familial or congenital disease",3964,902,22.75,1755,222,12.65
nervous system disease,3886,817,21.02,1312,75,5.72
immune system disease,2802,611,21.81,987,127,12.87
hematologic disease,2735,553,20.22,949,129,13.59
musculoskeletal or connective tissue disease,2397,472,19.69,902,113,12.53
gastrointestinal disease,3123,749,23.98,790,34,4.3
endocrine system disease,3182,714,22.44,713,44,6.17
cardiovascular disease,1682,317,18.85,612,36,5.88
reproductive system or breast disease,2083,506,24.29,584,153,26.2
urinary system disease,1356,252,18.58,574,160,27.87
integumentary system disease,1271,294,23.13,571,98,17.16
respiratory or thoracic disease,1368,366,26.75,520,44,8.46
