datasource,datatype,count,datatype_total,pct_of_datatype,pct_of_total
slapenrich,affected_pathway,213592,262549,81.35,4.92
reactome,affected_pathway,28649,262549,10.91,0.66
crispr_screen,affected_pathway,18088,262549,6.89,0.42
crispr,affected_pathway,1838,262549,0.7,0.04
sysbio,affected_pathway,382,262549,0.15,0.01
impc,animal_model,857681,857681,100.0,19.76
chembl,clinical_trial_adverse_effects,3305,3305,100.0,0.08
chembl,clinical_trial_positive,277979,277979,100.0,6.4
chembl,clinical_trial_unknown_operational,657580,657580,100.0,15.15
chembl,clinical_trial_unmet_efficacy,6806,6806,100.0,0.16
gene_ontology,gene_ontology,284402,284402,100.0,6.55
eva,genetic_association,356194,445999,79.86,8.21
gene_burden,genetic_association,27286,445999,6.12,0.63
uniprot_variants,genetic_association,26195,445999,5.87,0.6
genomics_england,genetic_association,22372,445999,5.02,0.52
orphanet,genetic_association,4892,445999,1.1,0.11
uniprot_literature,genetic_association,4120,445999,0.92,0.09
gene2phenotype,genetic_association,2951,445999,0.66,0.07
clingen,genetic_association,1989,445999,0.45,0.05
europepmc,literature,363688,363688,100.0,8.38
intact,protein_interaction,901152,901152,100.0,20.76
expression_atlas,rna_expression,202283,202283,100.0,4.66
cancer_gene_census,somatic_mutation,59292,77278,76.73,1.37
eva_somatic,somatic_mutation,17001,77278,22.0,0.39
cancer_biomarkers,somatic_mutation,985,77278,1.27,0.02
